time,TDryBul,relHum,pAtm,HGloHor,HDifHor,winSpe,winDir
0,298.65,0.95,101043,0.0,0.0,0.0,0.0
3600,299.45,0.95,101128,0.0,0.0,0.0,0.0
7200,298.45,0.96,101038,0.0,0.0,0.4,0.0
10800,298.75,0.97,100985,0.0,0.0,0.0,0.0
14400,298.85,0.9,100928,0.0,0.0,0.0,0.0
18000,298.25,0.92,100805,0.0,0.0,0.3,0.0
21600,297.25,0.97,100705,0.0,0.0,0.0,0.0
25200,298.45,0.95,101052,0.0,0.0,0.0,0.0
28800,299.85,0.93,101132,0.0,0.0,0.0,0.0
32400,299.95,0.91,101205,0.0,0.0,2.0,0.0
36000,300.45,0.86,101209,0.0,0.0,1.0,0.0
39600,299.05,0.94,101182,0.0,0.0,0.0,0.0
43200,299.45,0.89,101152,0.0,0.0,0.0,0.0
46800,299.65,0.85,101178,0.0,0.0,1.0,0.0
50400,299.75,0.93,100792,0.0,0.0,1.8,0.0
54000,300.25,0.91,101015,0.0,0.0,1.7,0.0
57600,300.05,0.92,100979,0.0,0.0,0.0,0.0
61200,299.05,0.94,101005,0.0,0.0,0.7,0.0
64800,299.45,0.95,100875,0.0,0.0,0.0,0.0
68400,300.05,0.89,100852,0.0,0.0,1.7,0.0
72000,300.05,0.91,100829,0.0,0.0,0.7,0.0
75600,298.85,0.96,100855,0.0,0.0,0.0,0.0
79200,300.05,0.92,100819,0.0,0.0,0.3,0.0
82800,300.05,0.92,100902,0.0,0.0,0.0,0.0
86400,300.05,0.91,100972,0.0,0.0,2.0,0.0
90000,299.75,0.88,100905,0.0,0.0,0.0,0.0
93600,299.35,0.88,100839,0.0,0.0,1.0,0.0
97200,300.35,0.83,100899,0.0,0.0,2.7,0.0
100800,299.95,0.94,101012,0.0,0.0,0.0,0.0
104400,299.25,0.9,101132,0.0,0.0,1.0,0.0
108000,298.45,0.95,101018,0.0,0.0,0.0,0.0
111600,299.15,0.97,101068,0.0,0.0,0.0,0.0
115200,298.25,0.96,100998,0.0,0.0,0.2,0.0
118800,298.75,0.97,100978,0.0,0.0,0.0,0.0
122400,298.65,0.89,100898,0.0,0.0,0.0,0.0
