time,TDryBul,relHum,pAtm,HGloHor,HDifHor,winSpe,winDir
0,300.95,0.87,101028,0.0,0.0,3.0,0.0
3600,301.25,0.84,101049,0.0,0.0,2.0,0.0
7200,301.65,0.83,100892,0.0,0.0,3.0,0.0
10800,301.05,0.86,100766,0.0,0.0,2.3,0.0
14400,302.05,0.75,100759,0.0,0.0,3.0,0.0
18000,301.85,0.83,100872,0.0,0.0,1.7,0.0
21600,300.75,0.86,101055,0.0,0.0,0.5,0.0
25200,301.85,0.79,100852,0.0,0.0,2.0,0.0
28800,300.25,0.95,100882,0.0,0.0,0.3,0.0
32400,301.35,0.88,100799,0.0,0.0,0.7,0.0
36000,301.45,0.85,100816,0.0,0.0,0.7,0.0
39600,301.85,0.87,100809,0.0,0.0,2.0,0.0
43200,301.95,0.87,100666,0.0,0.0,2.3,0.0
46800,302.45,0.84,100669,0.0,0.0,0.7,0.0
50400,301.95,0.84,100746,0.0,0.0,0.7,0.0
54000,300.35,0.95,100792,0.0,0.0,0.3,0.0
57600,302.25,0.86,100769,0.0,0.0,0.0,0.0
61200,301.75,0.87,100882,0.0,0.0,1.0,0.0
64800,300.75,0.92,100799,0.0,0.0,0.0,0.0
68400,300.35,0.87,100849,0.0,0.0,0.7,0.0
72000,302.15,0.79,100856,0.0,0.0,1.0,0.0
75600,299.25,0.96,100789,0.0,0.0,0.0,0.0
79200,299.35,0.93,100692,0.0,0.0,0.0,0.0
82800,299.05,0.97,100792,0.0,0.0,1.3,0.0
86400,299.65,0.91,100799,0.0,0.0,0.7,0.0
90000,297.35,0.97,100858,0.0,0.0,0.0,0.0
93600,299.15,0.93,100765,0.0,0.0,0.0,0.0
97200,299.15,0.95,100985,0.0,0.0,0.0,0.0
100800,300.85,0.9,100932,0.0,0.0,0.7,0.0
104400,299.75,0.94,100949,0.0,0.0,0.0,0.0
108000,301.95,0.85,100659,0.0,0.0,0.0,0.0
111600,300.65,0.88,101009,0.0,0.0,3.0,0.0
115200,301.15,0.84,101049,0.0,0.0,2.0,0.0
118800,301.45,0.85,100859,0.0,0.0,3.0,0.0
122400,300.75,0.87,100719,0.0,0.0,2.0,0.0
126000,301.75,0.74,100729,0.0,0.0,3.0,0.0
129600,301.55,0.84,100839,0.0,0.0,1.0,0.0
133200,300.35,0.86,101029,0.0,0.0,0.0,0.0
136800,301.65,0.79,100819,0.0,0.0,2.0,0.0
140400,300.15,0.95,100849,0.0,0.0,0.0,0.0
144000,301.15,0.88,100769,0.0,0.0,0.0,0.0
147600,301.35,0.86,100779,0.0,0.0,1.0,0.0
151200,301.65,0.89,100769,0.0,0.0,2.0,0.0
154800,302.15,0.87,100649,0.0,0.0,2.0,0.0
158400,302.25,0.85,100649,0.0,0.0,0.0,0.0
162000,301.85,0.85,100719,0.0,0.0,1.0,0.0
165600,300.15,0.96,100729,0.0,0.0,0.0,0.0
