time,TDryBul,relHum,pAtm,HGloHor,HDifHor,winSpe,winDir
0,298.35,0.76,101392,0.0,0.0,1.0,0.0
3600,298.65,0.83,101325,0.0,0.0,2.0,0.0
7200,299.55,0.8,101255,0.0,0.0,1.4,0.0
10800,299.15,0.81,101192,0.0,0.0,0.9,0.0
14400,298.65,0.88,101152,0.0,0.0,1.6,0.0
18000,298.55,0.86,101122,0.0,0.0,1.3,0.0
21600,299.25,0.86,101232,0.0,0.0,1.2,0.0
25200,298.85,0.77,101262,0.0,0.0,1.1,0.0
28800,297.85,0.82,101168,0.0,0.0,1.0,0.0
32400,298.85,0.81,101085,0.0,0.0,2.0,0.0
36000,298.45,0.83,101262,0.0,0.0,1.0,0.0
39600,297.15,0.79,101278,0.0,0.0,2.2,0.0
43200,297.15,0.82,101355,0.0,0.0,1.0,0.0
46800,297.05,0.76,101338,0.0,0.0,1.2,0.0
50400,296.25,0.88,101271,0.0,0.0,2.8,0.0
54000,297.45,0.82,101308,0.0,0.0,3.4,0.0
57600,298.35,0.78,101238,0.0,0.0,1.0,0.0
61200,297.75,0.83,101262,0.0,0.0,1.3,0.0
64800,298.05,0.84,101112,0.0,0.0,1.1,0.0
68400,297.55,0.86,101065,0.0,0.0,1.1,0.0
72000,297.55,0.84,101068,0.0,0.0,1.0,0.0
75600,297.95,0.79,101115,0.0,0.0,1.7,0.0
79200,297.65,0.91,100955,0.0,0.0,2.7,0.0
82800,297.85,0.91,100968,0.0,0.0,1.5,0.0
86400,298.45,0.87,100982,0.0,0.0,1.3,0.0
90000,298.25,0.86,101018,0.0,0.0,2.2,0.0
93600,298.25,0.88,100982,0.0,0.0,1.6,0.0
97200,298.25,0.89,100965,0.0,0.0,1.5,0.0
100800,299.25,0.9,101012,0.0,0.0,1.3,0.0
104400,298.55,0.91,101022,0.0,0.0,1.7,0.0
108000,298.25,0.86,101072,0.0,0.0,2.3,0.0
111600,297.95,0.71,101368,0.0,0.0,1.0,0.0
115200,298.15,0.87,101308,0.0,0.0,2.0,0.0
118800,299.35,0.8,101238,0.0,0.0,1.1,0.0
122400,298.95,0.82,101188,0.0,0.0,0.9,0.0
126000,298.45,0.91,101138,0.0,0.0,1.6,0.0
129600,298.45,0.88,101108,0.0,0.0,1.3,0.0
133200,298.95,0.9,101218,0.0,0.0,1.0,0.0
136800,298.65,0.79,101238,0.0,0.0,1.1,0.0
140400,297.45,0.84,101148,0.0,0.0,1.0,0.0
144000,298.85,0.81,101068,0.0,0.0,2.0,0.0
147600,298.15,0.86,101258,0.0,0.0,1.0,0.0
151200,296.75,0.81,101258,0.0,0.0,2.0,0.0
154800,296.75,0.84,101328,0.0,0.0,1.0,0.0
158400,296.65,0.79,101318,0.0,0.0,1.4,0.0
162000,295.75,0.9,101248,0.0,0.0,2.4,0.0
165600,297.15,0.84,101268,0.0,0.0,3.0,0.0
169200,298.15,0.78,101218,0.0,0.0,1.0,0.0
172800,297.35,0.86,101248,0.0,0.0,1.3,0.0
176400,297.75,0.87,101108,0.0,0.0,0.5,0.0
180000,297.15,0.88,101058,0.0,0.0,0.8,0.0
183600,297.25,0.86,101058,0.0,0.0,1.0,0.0
187200,297.65,0.81,101098,0.0,0.0,2.0,0.0
190800,297.55,0.92,100938,0.0,0.0,2.5,0.0
194400,297.55,0.93,100968,0.0,0.0,1.2,0.0
198000,298.25,0.88,100978,0.0,0.0,1.0,0.0
201600,297.95,0.88,101018,0.0,0.0,1.8,0.0
205200,297.95,0.9,100948,0.0,0.0,1.2,0.0
208800,298.15,0.9,100948,0.0,0.0,1.2,0.0
212400,298.95,0.9,100978,0.0,0.0,1.0,0.0
216000,298.45,0.91,101008,0.0,0.0,1.0,0.0
219600,297.95,0.87,101038,0.0,0.0,2.0,0.0
223200,297.55,0.74,101321,0.0,0.0,1.0,0.0
226800,297.85,0.86,101272,0.0,0.0,2.0,0.0
